Sem No,Course Code,Course Name,Credit Points,Has_External
2,1,Logical Thinking and Problem Solving,4,1
2,2,Material Chemistry,4,1
2,6,Holistic Wellness - 2,1,0
2,8,Tamils and Technology,1,1
2,9,Effective Communication,2,1
2,46,CAMPUS SUSTAINABILITY,1,0
2,52,Innovation Practicum - 2,1,0
2,54,Advanced Calculus and Laplace Transforms,4,1
2,56,Engineering Mechanics,3,1
2,58,Materials Science for Aeronautical Engineering,3,1
1,0,Basics of Artificial Intelligence,1,0
1,3,Basics of Electrical and Electronics Engineering,3,1
1,5,Holistic Wellness -1,1,0
1,7,Heritage of Tamils,1,1
1,14,ACHIEVEMENT MOTIVATION AND LEARNABILITY QUOTIENT,1,0
1,50,Design Thinking,1,0
1,51,Innovation Practicum -1,1,0
1,53,Linear Algebra and Calculus,4,1
1,55,Engineering Graphics,3,1
1,57,Engineering Physics,4,1
2,10,Professional Communication,2,1
2,25,FREEHAND OUTLINE AND MODEL DRAWING,1,0
1,36,DIGITAL ANIMATION,1,0
2,44,EMOTIONAL INTELLIGENCE FOR EMERGING LEADERS,1,0
1,41,INTRODUCTION TO NCC: A FOUNDATION FOR SOCIAL RESPONSIBILITY,1,0
2,36,DIGITAL ANIMATION,1,0
1,35,THE ART OF WILDLIFE AND SPORTS PHOTOGRAPHY,1,0
2,12,Freshmen design Project - 2,3,1
1,11,Freshmen Design Project I,3,1
2,3,Basics of Electrical and Electronics Engineering,3,1
1,30,MATHEMATICAL HERITAGE BY EXPLORING VEDIC TECHNIQUES,1,0
2,45,A STEP TOWARDS SELF-REALIZATION,1,0
2,2,Material Chemistry,4,0
2,56,Engineering Mechanics,3,0
2,49,THE ART OF FILM AND MEDIA: A CULTURAL PERSPECTIVE,1,0
1,13,SOCIAL ENTREPRENEURSHIP,1,0
2,43,LEADERSHIP THROUGH DRILL AND FIELD PRACTICES,1,0
2,4,Fluency through Practice,2,1
2,17,BUILDING EMOTIONAL INTELLIGENCE,1,0
1,16,JOURNALISM,1,0
2,26,GREATNESS AND HOLISTIC HEALING OF NO OIL-NO BOIL FOOD,1,0
1,39,MASTERING STAGE PERFORMANCE,1,0
2,42,CYBER CRIME AND LAW: A SOCIAL PERSPECTIVE,1,0
1,17,BUILDING EMOTIONAL INTELLIGENCE,1,0
2,20,BHARATANATYAM FOR BEGINNERS,1,0
1,27,BRANDING AND ADVERTISEMENT,1,0
2,13,SOCIAL ENTREPRENEURSHIP,1,0
1,38,HEAL YOUR SOUL,1,0
1,32,GAMIFICATION IN EDUCATION,1,0
2,47,TRANSDISCIPLINARY TECHNOLOGIES FOR SUSTAINABLE DEVELOPMENT,1,0
2,23,FUNDAMENTALS OF DIGITAL DESIGN,1,0
2,16,JOURNALISM,1,0
1,3,Basics of Electrical and Electronics Engineering,3,0
1,25,FREEHAND OUTLINE AND MODEL DRAWING,1,0
1,15,INNOVATIVE CRAFTWORKS,1,0
2,18,WINNING MINDSET FOR CAREER SUCCESS,1,0
1,40,PERSONALITY REFINING THERAPY,1,0
2,57,Engineering Physics,4,1
1,21,FUNDAMENTALS OF SELF-DEFENCE AND FITNESS THROUGH MARTIAL ARTS,1,0
2,22,UNIVERSAL RELATIONSHIP SKILLS,1,0
1,18,WINNING MINDSET FOR CAREER SUCCESS,1,0
2,48,ENVIRONMENTAL STEWARDSHIP AND LEADERSHIP IN SUSTAINABILITY,1,0
2,29,CREATIVE ART IN 2D GRAPHICS,1,0
1,23,FUNDAMENTALS OF DIGITAL DESIGN,1,0
2,53,Linear Algebra and Calculus,4,1
1,34,COMPANY INCORPORATION AND STARTUP ECOSYSTEM,1,0
2,38,HEAL YOUR SOUL,1,0
2,51,Innovation Practicum -1,1,0
1,22,UNIVERSAL RELATIONSHIP SKILLS,1,0
2,34,COMPANY INCORPORATION AND STARTUP ECOSYSTEM,1,0
2,24,PSYCHOLOGY OF PERSONALITY AND PROFESSIONAL CHOICES,1,0
2,53,Linear Algebra and Calculus,4,0
2,57,Engineering Physics,4,0
2,7,Heritage of Tamils,1,1
2,28,THE ART OF TEAM WORK,1,0
1,26,GREATNESS AND HOLISTIC HEALING OF NO OIL-NO BOIL FOOD,1,0
1,28,THE ART OF TEAM WORK,1,0
2,27,BRANDING AND ADVERTISEMENT,1,0
2,30,MATHEMATICAL HERITAGE BY EXPLORING VEDIC TECHNIQUES,1,0
1,19,THE LIFE CHANGING SKILLS,1,0
1,29,CREATIVE ART IN 2D GRAPHICS,1,0
1,31,INDIAN CULTURE AND CIVILIZATION,1,0
1,33,RHYTHMIC FITNESS,1,0
1,37,CRITICAL THINKING AND PROBLEM SOLVING,1,0
